stock,raw_auc,calibrated_auc,raw_pr_auc,calibrated_pr_auc,raw_brier,calibrated_brier,raw_ece,calibrated_ece
AXISBANK,0.8746085309404646,0.8746085309404648,0.01264718732964971,0.01264718732964971,0.00031212621252052486,0.00031056799343787134,0.0001911024154444804,1.8342963591110608e-05
RELIANCE,0.9064732995762917,0.9064733002838876,0.01402086315107884,0.01402086315107884,0.0004289586504455656,0.0004277464176993817,9.091651326144167e-05,0.00013178439255115288
INFY,0.9366131041577092,0.9366131041577092,0.02105438904849398,0.02105438904849398,0.00017436270718462765,0.00017269610543735325,0.0001551905749661165,4.847325617625662e-05
TCS,0.875179288852558,0.8751792911135727,0.00700207860745916,0.00700207860745916,0.0001599906972842291,0.0001581947726663202,0.00013833576554570353,7.0917275525233e-05
ICICIBANK,0.9148576280989568,0.9148576292536568,0.02025014877220556,0.02025014877220556,0.00027658871840685606,0.00027577689616009593,0.00015406891038609509,4.072678792749241e-05
HDFCBANK,0.7637029493782141,0.7637029493782141,0.02879801824093992,0.02879801824093992,0.00019637819787021726,0.00019605818670243025,0.0003528612317958256,4.426043227454198e-06
SBIN,0.9135698932989815,0.9135698932989814,0.02214820752632959,0.02214820752632959,0.00045358631177805364,0.0004519007634371519,0.0001357039686154957,8.63587454730763e-05
ITC,0.8516474170019437,0.851647417001944,0.0023223750244613017,0.0023223750244613017,0.00013900446356274188,0.00013948408013675362,3.2079761801829026e-05,0.0001145417037819208
LT,0.8853589917079242,0.8853589917079243,0.0074242604031130675,0.0074242604031130675,0.00029169273329898715,0.00029039845685474575,0.00011436256248244776,5.542528331405009e-05
MARUTI,0.9105419700087903,0.9105419700087902,0.0125802556643504,0.0125802556643504,0.000249993521720171,0.0002487862075213343,0.00011205596071398022,3.3678288479990714e-05
