test_stock,top_percentage,observations,adverse_events,precision,lift
AXISBANK,0.5,4705,398,0.08459086078639745,16.340742301537862
AXISBANK,1.0,9411,688,0.07310593985761343,14.122155902178546
AXISBANK,2.0,18822,1040,0.05525448942726596,10.673722484204715
AXISBANK,5.0,47057,1766,0.03752895424697707,7.249612599930775
RELIANCE,0.5,4705,159,0.03379383634431456,22.286549593500776
RELIANCE,1.0,9410,260,0.02763018065887354,18.221707214811957
RELIANCE,2.0,18821,405,0.021518516550661494,14.191152534404921
RELIANCE,5.0,47054,626,0.013303863646023718,8.773706953876578
INFY,0.5,4410,329,0.0746031746031746,34.67569705788884
INFY,1.0,8821,488,0.055322525790726676,25.714014919612396
INFY,2.0,17643,711,0.04029926883183132,18.73117659000453
INFY,5.0,44109,994,0.022535083543041103,10.474349573851214
TCS,0.5,4395,242,0.05506257110352673,32.75384748014489
TCS,1.0,8791,335,0.03810715504493232,22.66795609484359
TCS,2.0,17583,474,0.02695785702098618,16.035821058860442
TCS,5.0,43959,674,0.01533246889146705,9.12048488656594
ICICIBANK,0.5,4699,312,0.06639710576718451,18.067010031702342
ICICIBANK,1.0,9398,492,0.05235156416258779,14.245142524996078
ICICIBANK,2.0,18797,797,0.042400383039846785,11.537372553782884
ICICIBANK,5.0,46992,1249,0.02657899216887981,7.232286898641004
HDFCBANK,0.5,4699,250,0.05320280910832092,25.356264571418457
HDFCBANK,1.0,9398,391,0.04160459672270696,19.828598894849232
HDFCBANK,2.0,18796,543,0.028889125345818258,13.76845166228022
HDFCBANK,5.0,46992,813,0.017300817160367722,8.245506291347507
SBIN,0.5,4606,551,0.11962657403386887,21.063078144236297
SBIN,1.0,9213,901,0.09779659177249539,17.219395200274192
SBIN,2.0,18427,1327,0.07201389265751343,12.679743282511804
SBIN,5.0,46069,2073,0.044997720810089216,7.922909415320186
ITC,0.5,2396,114,0.04757929883138564,38.84618742765483
ITC,1.0,4792,162,0.03380634390651085,27.601238435438958
ITC,2.0,9585,212,0.02211789254042775,18.058185392244944
ITC,5.0,23962,270,0.011267840747850763,9.199644894876855
LT,0.5,2228,264,0.118491921005386,38.10908780029067
LT,1.0,4457,358,0.08032308727843841,25.83331892598215
LT,2.0,8915,468,0.052495793606281545,16.883571392152433
LT,5.0,22288,639,0.02867013639626705,9.220820591827412
MARUTI,0.5,4394,221,0.05029585798816568,20.608616432876786
MARUTI,1.0,8789,334,0.03800204801456366,15.57125502024808
MARUTI,2.0,17578,490,0.027875753783138012,11.422028383116105
MARUTI,5.0,43945,809,0.018409375355558085,7.543200785257902
