cost,risk_threshold,fills,total_pnl,average_pnl,median_pnl,win_rate,adverse_rate,max_drawdown
0.0,0.001,66079,396.79999999999654,0.006004933488702864,0.0,0.3496874952708122,0.0005448024334508694,-21.70000000000755
0.0,0.002,113347,462.94999999998265,0.004084360415361524,0.0,0.35633056013833625,0.0006616849144661967,-39.70000000001164
0.0,0.003,140458,384.99999999994975,0.002741032906633654,0.0,0.359338734710732,0.0008116305230033178,-46.35000000001594
0.0,0.005,163768,207.69999999993433,0.0012682575350491815,0.0,0.3615663621708759,0.0010502662302769772,-58.39999999999441
0.0,0.01,178187,53.59999999992738,0.0003008075785547059,0.0,0.3634833068630147,0.001330063360402274,-76.25000000000489
0.0,0.02,184859,-55.350000000075056,-0.0002994173937978408,0.0,0.36452106740813267,0.0015958108612510076,-112.0000000000316
0.005,0.001,66079,66.40499999999636,0.0010049334887028611,-0.005,0.3496874952708122,0.0005448024334508694,-53.04499999997789
0.005,0.002,113347,-103.78500000001763,-0.0009156395846384786,-0.005,0.35633056013833625,0.0006616849144661967,-145.09999999999113
0.005,0.003,140458,-317.29000000005067,-0.002258967093366349,-0.005,0.359338734710732,0.0008116305230033178,-340.8699999996627
0.005,0.005,163768,-611.1400000000663,-0.0037317424649508223,-0.005,0.3615663621708759,0.0010502662302769772,-621.7299999994118
0.005,0.01,178187,-837.3350000000731,-0.004699192421445297,-0.005,0.3634833068630147,0.001330063360402274,-846.2099999993528
0.005,0.02,184859,-979.6450000000754,-0.005299417393797842,-0.005,0.36452106740813267,0.0015958108612510076,-987.2849999993083
0.01,0.001,66079,-263.99000000000393,-0.003995066511297143,-0.01,0.3496874952708122,0.0005448024334508694,-279.3899999998517
0.01,0.002,113347,-670.5200000000181,-0.005915639584638482,-0.01,0.35633056013833625,0.0006616849144661967,-679.6299999993564
0.01,0.003,140458,-1019.5800000000512,-0.007258967093366353,-0.01,0.359338734710732,0.0008116305230033178,-1026.2099999989675
0.01,0.005,163768,-1429.9800000000669,-0.008731742464950827,-0.01,0.3615663621708759,0.0010502662302769772,-1436.5400000006312
0.01,0.01,178187,-1728.2700000000739,-0.009699192421445301,-0.01,0.3634833068630147,0.001330063360402274,-1734.3600000014537
0.01,0.02,184859,-1903.9400000000765,-0.010299417393797848,-0.01,0.36452106740813267,0.0015958108612510076,-1908.3800000021438
0.02,0.001,66079,-924.7800000000038,-0.013995066511297142,-0.02,0.3496874952708122,0.0005448024334508694,-926.8199999992733
0.02,0.002,113347,-1803.990000000018,-0.015915639584638482,-0.02,0.35633056013833625,0.0006616849144661967,-1805.7500000001617
0.02,0.003,140458,-2424.1600000000512,-0.017258967093366353,-0.02,0.359338734710732,0.0008116305230033178,-2426.5900000013758
0.02,0.005,163768,-3067.660000000067,-0.018731742464950827,-0.02,0.3615663621708759,0.0010502662302769772,-3070.8800000023307
0.02,0.01,178187,-3510.140000000074,-0.019699192421445303,-0.02,0.3634833068630147,0.001330063360402274,-3512.6700000031774
0.02,0.02,184859,-3752.530000000076,-0.020299417393797845,-0.02,0.36452106740813267,0.0015958108612510076,-3753.8800000035826
