stock,rows,train_rows,test_rows,roc_auc,pr_auc,baseline_adverse_rate
AXISBANK,941143,752914,188229,0.7772045137596746,0.012487865158553787,0.0018806878855011715
RELIANCE,941086,752868,188218,0.8498208974234494,0.01526657582060619,0.0021676991573600824
INFY,882194,705755,176439,0.8587965832343167,0.011789834524546364,0.0009124966702373058
TCS,879185,703348,175837,0.8413652889470176,0.0038845435065560747,0.0006540147977956858
ICICIBANK,939852,751881,187971,0.7208221483792367,0.01074035894932581,0.0018566693798511473
HDFCBANK,939848,751878,187970,0.836121164995049,0.027266132608609085,0.0006809597276161089
SBIN,921393,737114,184279,0.8410680176937125,0.036011061723679474,0.0027729692477167773
ITC,479257,383405,95852,0.7751221170680647,0.005610978680435884,0.0007198597838334098
LT,445762,356609,89153,0.7460904292556381,0.004686376281812805,0.0009534171592655323
MARUTI,878909,703127,175782,0.7256954482717157,0.008526636969085366,0.0011036397355815727
