stock,top_percentage,observations,adverse_events,precision,lift
AXISBANK,0.5,874,33,0.03775743707093822,21.786165801934885
AXISBANK,1.0,1748,46,0.02631578947368421,15.18429737710613
AXISBANK,2.0,3496,76,0.021739130434782608,12.54355000717463
AXISBANK,5.0,8741,112,0.012813179270106395,7.3932467265717525
RELIANCE,0.5,876,23,0.026255707762557076,12.923339618285361
RELIANCE,1.0,1752,40,0.0228310502283105,11.237686624595966
RELIANCE,2.0,3504,69,0.019691780821917807,9.69250471371402
RELIANCE,5.0,8761,148,0.016893048738728454,8.314938908261716
INFY,0.5,822,18,0.021897810218978103,25.361211061992393
INFY,1.0,1644,33,0.020072992700729927,23.24777680682636
INFY,2.0,3289,51,0.015506232897537246,17.958729268282237
INFY,5.0,8222,76,0.009243493067380199,10.7054621575231
TCS,0.5,816,9,0.011029411764705883,16.369552139037435
TCS,1.0,1632,13,0.007965686274509803,11.822454322638146
TCS,2.0,3265,21,0.006431852986217458,9.5459807879716
TCS,5.0,8162,53,0.006493506493506494,9.637485242030698
ICICIBANK,0.5,874,36,0.041189931350114416,26.86859182349124
ICICIBANK,1.0,1748,55,0.031464530892448515,20.52461875405581
ICICIBANK,2.0,3496,74,0.02116704805491991,13.807470798183
ICICIBANK,5.0,8740,101,0.011556064073226544,7.538132706035042
HDFCBANK,0.5,872,33,0.03784403669724771,55.99538368838439
HDFCBANK,1.0,1745,40,0.022922636103151862,33.917148268661066
HDFCBANK,2.0,3491,50,0.014322543683758236,21.192145419941838
HDFCBANK,5.0,8729,66,0.007561003551380456,11.187529975087912
SBIN,0.5,858,50,0.05827505827505827,21.940176052018156
SBIN,1.0,1716,72,0.04195804195804196,15.796926757453075
SBIN,2.0,3433,114,0.033207107486163706,12.502257500728227
SBIN,5.0,8584,207,0.02411463187325256,9.079000251385686
ITC,0.5,390,4,0.010256410256410256,12.139238539238539
ITC,1.0,781,6,0.0076824583866837385,9.092771505063439
ITC,2.0,1562,9,0.005761843790012804,6.819578628797579
ITC,5.0,3905,17,0.004353393085787452,5.152570519535949
LT,0.5,412,13,0.03155339805825243,27.432856412876852
LT,1.0,825,13,0.01575757575757576,13.699802232854866
LT,2.0,1651,22,0.013325257419745608,11.585119066594409
LT,5.0,4129,34,0.008234439331557278,7.159108233164651
MARUTI,0.5,816,23,0.028186274509803922,23.352113815069174
MARUTI,1.0,1632,30,0.01838235294117647,15.229639444610331
MARUTI,2.0,3264,44,0.013480392156862746,11.16840225938091
MARUTI,5.0,8160,66,0.008088235294117648,6.701041355628546
