stock,risk_bucket,observations,mean_probability,actual_rate
AXISBANK,1,875191,1.7725675e-05,6.3986032763134e-05
AXISBANK,2,213913,2.6313102e-05,3.739838158503691e-05
AXISBANK,3,68632,0.000311665,0.00040797295722112137
AXISBANK,4,128638,0.0029700685,0.002402089584726131
RELIANCE,1,371822,2.6543556e-05,6.454701443163665e-05
RELIANCE,2,482057,2.8220973e-05,5.808441740292123e-05
RELIANCE,3,215278,2.9014282e-05,0.0
RELIANCE,4,87622,9.889109e-05,0.0006162835817488759
RELIANCE,5,128531,0.003024488,0.003454419556371615
INFY,1,980170,1.3600197e-05,1.5303467765795728e-05
INFY,2,81278,0.00015577214,0.0001353379758360196
INFY,3,117939,0.0019700916,0.0015092547842528764
TCS,1,965305,3.6440838e-06,3.52220282708574e-05
TCS,2,99171,3.8571136e-05,0.00015125389478779077
TCS,3,118276,0.0008601136,0.0011667624877405392
ICICIBANK,1,776592,2.1637361e-05,3.219193604878752e-05
ICICIBANK,2,189797,2.4628998e-05,0.0
ICICIBANK,3,82637,3.4097277e-05,6.050558466546462e-05
ICICIBANK,4,74374,0.00029406694,0.0005243767983435071
ICICIBANK,5,124823,0.002817346,0.002227153649567788
HDFCBANK,1,743153,6.26065e-06,7.535460396445954e-05
HDFCBANK,2,7730,1.6016227e-05,0.0007761966364812419
HDFCBANK,3,125147,0.00012706048,0.00023971809152436733
HDFCBANK,4,255716,0.00038389032,6.648000125138826e-05
HDFCBANK,5,119725,0.0010692157,0.0011693464188765922
SBIN,1,420897,5.974542e-06,4.9893441863448776e-05
SBIN,2,603712,1.5628586e-05,4.637973073253472e-05
SBIN,3,1971,1.7659657e-05,0.0
SBIN,4,164757,0.00044918281,0.00040665950460374976
SBIN,5,91879,0.004523897,0.005104539666300242
ITC,1,216156,5.0519186e-05,0.0
ITC,2,374341,5.2635187e-05,7.479811188194721e-05
ITC,3,23098,0.00013284644,0.00038964412503247035
ITC,4,68178,0.002029972,0.0008360468186218429
LT,1,64188,6.3715534e-06,7.789617997133421e-05
LT,2,411338,8.363583e-06,3.6466360997525146e-05
LT,3,41451,0.00031029774,0.0005548720175629056
LT,4,57442,0.003135788,0.002123881480449845
MARUTI,1,130802,9.699108e-06,0.0
MARUTI,2,715233,2.1806345e-05,2.9361061360423807e-05
MARUTI,3,122894,3.2828037e-05,4.068546877797126e-05
MARUTI,4,92522,0.00017806991,0.0005620284905211734
MARUTI,5,117939,0.0024904318,0.0018144973248882897
